証券コード,会社名,基準日,区分,株主数,所有株式数_単元,割合
1964,中外炉工業株式会社,2026-03-31,単元未満株式の状況(株),,"55,600",
1965,株式会社テクノ菱和,2026-03-31,政府及び地方公共団体,,,
1965,株式会社テクノ菱和,2026-03-31,金融機関,16,"54,689",25.81
1965,株式会社テクノ菱和,2026-03-31,金融商品取引業者,28,"1,414",0.67
1965,株式会社テクノ菱和,2026-03-31,その他の法人,145,"49,744",23.48
1965,株式会社テクノ菱和,2026-03-31,外国法人等 個人以外,113,"24,216",11.43
1965,株式会社テクノ菱和,2026-03-31,外国法人等 個人,8,9,0.00
1965,株式会社テクノ菱和,2026-03-31,個人その他,"7,096","81,814",38.61
1965,株式会社テクノ菱和,2026-03-31,計,"7,406","211,886",100.00
1965,株式会社テクノ菱和,2026-03-31,単元未満株式の状況(株),,"40,004",
1966,株式会社　高田工業所,2026-03-31,政府及び地方公共団体,,,
1966,株式会社　高田工業所,2026-03-31,金融機関,6,"4,840",6.61
1966,株式会社　高田工業所,2026-03-31,金融商品取引業者,20,654,0.89
1966,株式会社　高田工業所,2026-03-31,その他の法人,51,"30,699",41.96
1966,株式会社　高田工業所,2026-03-31,外国法人等 個人以外,17,708,0.97
1966,株式会社　高田工業所,2026-03-31,外国法人等 個人,6,6,0.01
1966,株式会社　高田工業所,2026-03-31,個人その他,"3,255","36,249",49.55
1966,株式会社　高田工業所,2026-03-31,計,"3,356","73,156",100.0
1966,株式会社　高田工業所,2026-03-31,単元未満株式の状況（株）,,"18,750",
1967,株式会社ヤマト,2026-03-20,政府及び地方公共団体,,,
1967,株式会社ヤマト,2026-03-20,金融機関,11,"54,299",22.531
1967,株式会社ヤマト,2026-03-20,金融商品取引業者,14,"4,798",1.990
1967,株式会社ヤマト,2026-03-20,その他の法人,205,"85,521",35.487
1967,株式会社ヤマト,2026-03-20,外国法人等 個人以外,51,"9,690",4.020
1967,株式会社ヤマト,2026-03-20,外国法人等 個人,26,31,0.012
1967,株式会社ヤマト,2026-03-20,個人その他,"6,529","86,649",35.955
1967,株式会社ヤマト,2026-03-20,計,"6,836","240,988",100.00
1967,株式会社ヤマト,2026-03-20,単元未満株式の状況(株),,"28,852",
1968,太平電業株式会社,2026-03-31,政府および地方公共団体,,,
1968,太平電業株式会社,2026-03-31,金融機関,20,"193,615",29.71
1968,太平電業株式会社,2026-03-31,金融商品取引業者,25,"3,047",0.47
1968,太平電業株式会社,2026-03-31,その他の法人,109,"124,807",19.16
1968,太平電業株式会社,2026-03-31,外国法人等 個人以外,164,"100,591",15.44
1968,太平電業株式会社,2026-03-31,外国法人等 個人,3,22,0.00
1968,太平電業株式会社,2026-03-31,個人その他,"3,593","229,461",35.22
1968,太平電業株式会社,2026-03-31,計,"3,914","651,543",100.00
1968,太平電業株式会社,2026-03-31,単元未満株式の状況(株),,"41,640",
1969,高砂熱学工業株式会社,2026-03-31,政府および地方公共団体,,,
1969,高砂熱学工業株式会社,2026-03-31,金融機関,38,"407,426",29.00
1969,高砂熱学工業株式会社,2026-03-31,金融商品取引業者,45,"25,221",1.80
1969,高砂熱学工業株式会社,2026-03-31,その他の法人,258,"247,898",17.65
1969,高砂熱学工業株式会社,2026-03-31,外国法人等 個人以外,292,"307,917",21.93
1969,高砂熱学工業株式会社,2026-03-31,外国法人等 個人,43,57,0.00
1969,高砂熱学工業株式会社,2026-03-31,個人その他,"16,941","415,116",29.62
1969,高砂熱学工業株式会社,2026-03-31,計,"17,617","1,403,635",100.00
1969,高砂熱学工業株式会社,2026-03-31,単元未満株式の状況（株）,,"115,304",
196A,株式会社ＭＦＳ,2025-06-30,政府及び地方公共団体,,,
196A,株式会社ＭＦＳ,2025-06-30,金融機関,1,664,0.73
196A,株式会社ＭＦＳ,2025-06-30,金融商品取引業者,21,"14,483",15.94
196A,株式会社ＭＦＳ,2025-06-30,その他の法人,17,"2,052",2.26
