証券コード,会社名,会計基準,決算期,年度,指標,値,この値の基準,出所書類,本体か訂正か
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,売上高,931265000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,従業員数,9662,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,従業員数,9515,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,従業員数,10104,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,従業員数,10332,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,従業員数,11526,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,純利益,17275000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,純利益,21233000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,純利益,23850000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,純利益,25381000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,純利益,27517000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,純資産,208598000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,純資産,220635000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,純資産,257304000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,純資産,285939000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,純資産,309943000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,経常利益,32372000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,経常利益,27776000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,経常利益,31963000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,経常利益,35301000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,経常利益,43187000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,総資産,505731000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,総資産,549013000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,総資産,606384000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,総資産,634878000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,総資産,749509000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,自己資本比率,0.3753,JGAAP,S100YHOQ,本体
